degree,gamma,nu,accuracy,recall,precision,f1,time
1,0.03,0.7,0.31899394247178264,0.6300813008130082,0.004376800135539617,0.008693213684800897,58712.359375
2,0.001,0.007,0.49850128791102205,0.0040650406504065045,0.003968253968253968,0.004016064257028112,1765.890625
2,0.001,0.01,0.4823504719290299,0.0040650406504065045,0.0007142857142857143,0.0012150668286755773,2468.078125
1,0.001,0.9,0.09762548554016773,0.18292682926829268,0.0012803368708566875,0.0025428757098861355,76139.109375
1,0.01,0.9,0.14554355335337257,0.25203252032520324,0.0018121236920558836,0.003598374927452118,76164.4375
1,0.02,0.9,0.07517591537761185,0.14227642276422764,0.000991838585354795,0.0019699442787189736,74952.015625
1,0.03,0.9,0.10253464549276894,0.1910569105691057,0.0013394511100344837,0.0026602518749115605,75929.921875
1,0.5,0.3,0.18746448522448084,0.14634146341463414,0.0013113798630336587,0.002599465665391003,81383.828125
2,0.001,0.05,0.4780313948328003,0.0040650406504065045,0.0005858230814294083,0.0010240655401945725,24704.25
2,0.001,0.005,0.4263431562284109,0.0040650406504065045,0.00018583906337112061,0.0003554291807357384,42165.609375
2,0.01,0.0001,0.5004568309611065,0.0040650406504065045,0.008849557522123894,0.005571030640668524,66.25
2,0.01,0.001,0.5012587442981914,0.0040650406504065045,0.017857142857142856,0.006622516556291391,276.34375
2,0.001,0.02,0.4921141185244154,0.0040650406504065045,0.00141643059490085,0.0021008403361344537,38026.625
2,0.01,0.007,0.49830432674050995,0.0040650406504065045,0.0037593984962406013,0.00390625,1883.65625
2,0.01,0.01,0.49685525527174235,0.0040650406504065045,0.0027100271002710027,0.0032520325203252037,2614.359375
2,0.01,0.02,0.4917624021485009,0.0040650406504065045,0.0013679890560875513,0.0020470829068577278,35104.390625
2,0.01,0.005,0.4993735445232899,0.0040650406504065045,0.005263157894736842,0.0045871559633027525,41356.8125
2,0.001,0.1,0.4510195771625696,0.0040650406504065045,0.00027570995312930797,0.0005163955589981927,75013.03125
2,0.001,0.3,0.35682913103751185,0.012195121951219513,0.0002826721944784698,0.0005525370660281795,78749.671875
2,0.01,0.05,0.4779047769374711,0.0040650406504065045,0.0005827505827505828,0.0010193679918450561,24090.640625
2,0.01,0.1,0.45307360079791004,0.0040650406504065045,0.0002872737719046251,0.0005366246310705661,34653.171875
2,0.001,0.5,0.27729502083991014,0.052845528455284556,0.0007335929123638621,0.0014470974564479322,123820.0625
2,0.02,0.0001,0.5016385979841791,0.0040650406504065045,0.034482758620689655,0.007272727272727273,76.984375
2,0.02,0.001,0.5013712935384841,0.0040650406504065045,0.020833333333333332,0.006802721088435374,268.0625
2,0.01,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,78916.828125
2,0.02,0.007,0.4983183953955465,0.0040650406504065045,0.0037735849056603774,0.00391389432485323,1818.75
2,0.02,0.01,0.4968693239267789,0.0040650406504065045,0.002717391304347826,0.003257328990228013,2597.28125
2,0.001,0.9,0.19001880395843915,0.2804878048780488,0.002151476411711515,0.0042701983476189,134883.5
2,0.02,0.005,0.49940168183336303,0.0040650406504065045,0.005319148936170213,0.004608294930875577,38801.421875
2,0.001,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,167210.640625
2,0.02,0.05,0.4778907082824345,0.0040650406504065045,0.0005824111822947001,0.0010188487009679063,24001.28125
2,0.02,0.02,0.4917905394585741,0.0040650406504065045,0.0013717421124828531,0.0020512820512820513,33601.90625
2,0.01,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,119997.859375
2,0.02,0.1,0.4530876694529466,0.0040650406504065045,0.00028735632183908046,0.0005367686527106817,32311.703125
2,0.03,0.0001,0.5016948726043253,0.0040650406504065045,0.04,0.007380073800738008,86.421875
2,0.03,0.001,0.5013853621935207,0.0040650406504065045,0.02127659574468085,0.006825938566552902,275.296875
2,0.03,0.005,0.49941575048839965,0.0040650406504065045,0.0053475935828877,0.004618937644341802,39305.734375
2,0.03,0.007,0.49833246405058307,0.0040650406504065045,0.003787878787878788,0.00392156862745098,1926.125
2,0.01,0.9,0.19003287261347573,0.2804878048780488,0.0021515434985968193,0.0042703304864463425,137317.140625
2,0.03,0.01,0.4968693239267789,0.0040650406504065045,0.002717391304347826,0.003257328990228013,2687.890625
2,0.01,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,157631.4375
2,0.02,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,81050.5
2,0.03,0.05,0.4779047769374711,0.0040650406504065045,0.0005827505827505828,0.0010193679918450561,24492.953125
2,0.03,0.02,0.4917905394585741,0.0040650406504065045,0.0013717421124828531,0.0020512820512820513,35152.90625
2,0.03,0.1,0.4530876694529466,0.0040650406504065045,0.00028735632183908046,0.0005367686527106817,28219.25
1,0.5,0.5,0.24946825059134103,0.11382113821138211,0.0012796490105571043,0.002530844669408415,358797.34375
2,0.5,0.0001,0.5016667352942522,0.0040650406504065045,0.037037037037037035,0.007326007326007326,99.34375
2,0.5,0.001,0.5013712935384841,0.0040650406504065045,0.020833333333333332,0.006802721088435374,274.5625
2,0.5,0.005,0.49941575048839965,0.0040650406504065045,0.0053475935828877,0.004618937644341802,1337.78125
2,0.5,0.007,0.49833246405058307,0.0040650406504065045,0.003787878787878788,0.00392156862745098,1842.3125
2,0.5,0.01,0.4968693239267789,0.0040650406504065045,0.002717391304347826,0.003257328990228013,2540.046875
2,0.02,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,122086.59375
2,0.5,0.02,0.4917905394585741,0.0040650406504065045,0.0013717421124828531,0.0020512820512820513,34477.140625
2,0.5,0.05,0.4779047769374711,0.0040650406504065045,0.0005827505827505828,0.0010193679918450561,23707.28125
2,0.02,0.9,0.19001880395843915,0.2804878048780488,0.002151476411711515,0.0042701983476189,131761.953125
2,0.03,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,79754.90625
2,0.5,0.1,0.4531017381079832,0.0040650406504065045,0.0002874389192296637,0.0005369127516778524,27663.390625
2,0.02,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,159671.890625
2,1.0,0.0001,0.5016667352942522,0.0040650406504065045,0.037037037037037035,0.007326007326007326,98.984375
2,1.0,0.001,0.5013712935384841,0.0040650406504065045,0.020833333333333332,0.006802721088435374,279.65625
2,1.0,0.005,0.49941575048839965,0.0040650406504065045,0.0053475935828877,0.004618937644341802,1346.5625
2,1.0,0.007,0.49833246405058307,0.0040650406504065045,0.003787878787878788,0.00392156862745098,1859.734375
2,1.0,0.01,0.4968693239267789,0.0040650406504065045,0.002717391304347826,0.003257328990228013,2597.75
2,1.0,0.02,0.4917905394585741,0.0040650406504065045,0.0013717421124828531,0.0020512820512820513,5061.5
1,0.5,0.9,0.16763671758833515,0.12601626016260162,0.0011018696239425607,0.0021846370683579986,450608.125
2,1.0,0.05,0.47787663962739796,0.0040650406504065045,0.0005820721769499418,0.0010183299389002038,23914.015625
2,0.03,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,119719.078125
2,1.0,0.1,0.4531017381079832,0.0040650406504065045,0.0002874389192296637,0.0005369127516778524,30947.53125
