kernel,bandwidth,quantile,accuracy,recall,precision,f1,time
exponential,1.0,0.0001,0.5040369033403334,0.008130081300813009,0.5,0.016,1.21875
exponential,0.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1107.453125
exponential,1.0,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,1101.21875
exponential,5.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,660.84375
exponential,1.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,661.125
exponential,5.0,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,0.546875
exponential,5.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,3700.421875
exponential,1.0,0.01,0.8224176583352778,0.6504065040650406,0.44692737430167595,0.5298013245033112,1630.75
exponential,5.5,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1.3125
exponential,5.5,0.0001,0.4999437253798537,0.0,0.0,0.0,0.484375
exponential,5.0,0.0001,0.4999437253798537,0.0,0.0,0.0,661.125
exponential,5.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,2140.578125
exponential,5.5,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,0.875
exponential,6.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1194.375
exponential,6.0,0.0001,0.4999437253798537,0.0,0.0,0.0,0.46875
exponential,6.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,2346.984375
exponential,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1153.203125
exponential,7.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1169.828125
exponential,7.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1169.34375
exponential,7.0,0.0001,0.4999437253798537,0.0,0.0,0.0,0.578125
exponential,8.0,0.0001,0.4999437253798537,0.0,0.0,0.0,3473.515625
exponential,7.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1169.34375
exponential,8.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1174.578125
exponential,9.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1150.671875
exponential,8.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1140.296875
exponential,8.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,2367.140625
exponential,9.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1151.375
exponential,9.0,0.0001,0.4999437253798537,0.0,0.0,0.0,1156.046875
linear,0.5,0.0001,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,1154.640625
linear,0.5,0.001,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,1154.65625
linear,0.5,0.01,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,71.328125
linear,0.5,0.1,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,34.109375
exponential,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1156.4375
linear,1.0,0.001,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,1.28125
linear,1.0,0.0001,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,0.734375
linear,5.0,0.0001,0.7318546376234725,0.46747967479674796,0.46184738955823296,0.46464646464646464,135.203125
linear,1.0,0.01,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,0.4375
linear,5.5,0.0001,0.7159321227427243,0.4349593495934959,0.4930875576036866,0.46220302375809935,941.890625
linear,5.0,0.001,0.7318546376234725,0.46747967479674796,0.46184738955823296,0.46464646464646464,940.625
linear,1.0,0.1,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,135.734375
linear,5.5,0.001,0.7159321227427243,0.4349593495934959,0.4930875576036866,0.46220302375809935,938.515625
linear,5.0,0.01,0.8162778913945583,0.6382113821138211,0.43854748603351956,0.5198675496688743,1897.765625
linear,5.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,959.203125
linear,6.0,0.0001,0.6880958590114883,0.3780487804878049,0.5849056603773585,0.45925925925925926,1.6875
linear,5.5,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,1.171875
linear,5.5,0.01,0.8387903701771964,0.6829268292682927,0.4692737430167598,0.5562913907284769,1.71875
linear,6.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,1.296875
linear,6.0,0.001,0.6880958590114883,0.3780487804878049,0.5849056603773585,0.45925925925925926,0.65625
linear,7.0,0.001,0.6500125817240164,0.3008130081300813,0.7254901960784313,0.42528735632183906,1119.8125
