gamma,nu,accuracy,recall,precision,f1,time
0.03,0.007,0.9157795407441975,0.8414634146341463,0.370304114490161,0.5142857142857143,4245.734375
0.03,0.01,0.9272290239784784,0.8658536585365854,0.3446601941747573,0.4930555555555556,4311.921875
0.001,0.1,0.9116072123017234,0.9227642276422764,0.060292164674634795,0.11318873098977811,30009.5
0.001,0.05,0.9216057939982889,0.8943089430894309,0.10805500982318271,0.19281332164767748,31806.1875
0.01,0.1,0.9115509376815771,0.9227642276422764,0.06022817723534094,0.11307596513075965,33499.46875
0.01,0.007,0.9174537106935503,0.8414634146341463,0.47045454545454546,0.6034985422740524,39534.8125
0.02,0.1,0.9114524570963212,0.9227642276422764,0.06011652542372881,0.11287916459472899,37365.0625
0.03,0.02,0.9285854482067613,0.8780487804878049,0.2254697286012526,0.3588039867109634,19745.8125
0.03,0.05,0.9215213820680694,0.8943089430894309,0.10773751224289912,0.19230769230769232,21861.328125
0.5,0.0001,0.5009285312324142,1.0,0.006886898096304591,0.013679586275927264,13844.734375
0.03,0.1,0.9113821138211382,0.9227642276422764,0.06003702724147051,0.11273901167121926,36304.609375
0.001,0.3,0.8260740217137681,0.9512195121951219,0.021541010770505385,0.04212800432082095,86754.84375
0.01,0.3,0.8262850515393168,0.9512195121951219,0.02157079646017699,0.04218496484586263,89333.0625
0.02,0.3,0.8260177470936217,0.9512195121951219,0.021533081807306523,0.0421128408170611,88772.625
0.03,0.3,0.8261725022990241,0.9512195121951219,0.021554900515843772,0.04215456674473068,87026.71875
0.01,0.9,0.5491418120427687,1.0,0.007617749976775152,0.015120317157872092,109583.65625
0.01,0.5,0.7395907965832613,0.983739837398374,0.013315725762077693,0.026275787187839305,119258.796875
0.001,0.5,0.739365698102676,0.983739837398374,0.013304013194062672,0.026252983293556086,120107.84375
0.001,0.9,0.549198086662915,1.0,0.007618693672767816,0.01512217611802674,114394.796875
0.01,0.7,0.6453300071830206,0.991869918699187,0.009696006358036956,0.019204281610326238,125470.359375
0.02,0.9,0.5490855374226224,1.0,0.007616806514536954,0.015118458654703008,103286.515625
0.02,0.5,0.7396189338933344,0.983739837398374,0.013317191283292978,0.026278640460419157,114693.046875
1.0,0.0001,0.5009285312324142,1.0,0.006886898096304591,0.013679586275927264,12247.171875
0.001,0.7,0.6453159385279841,0.991869918699187,0.009695621076054995,0.019203525893278766,130880.65625
