gamma,nu,accuracy,recall,precision,f1,time
0.02,0.7,0.5807536223927237,0.8617886178861789,0.00844621513944223,0.016728477866329992,135362.71875
2.0,0.005,0.4974676420934159,0.0,0.0,0.0,4692.8125
0.001,0.3,0.4721970206477529,0.24796747967479674,0.005622119815668203,0.01099495313626532,183316.734375
2.0,0.007,0.4965813168261114,0.0,0.0,0.0,2667.46875
1.0,0.05,0.5144405021709193,0.08130081300813008,0.010621348911311737,0.018788163457022077,34450.28125
0.5,0.1,0.5323203901706997,0.16666666666666666,0.011180801745295883,0.020955788397648865,84531.484375
1.0,0.1,0.5057288020826185,0.11382113821138211,0.007637752318603383,0.014314928425357873,43731.921875
1.0,0.02,0.5064683786961673,0.032520325203252036,0.011363636363636364,0.016842105263157898,53384.0
0.03,0.5,0.6437536315430683,0.7845528455284553,0.010807481240900437,0.021321254971277067,117350.875
0.03,0.9,0.445244108321781,0.7926829268292683,0.0060448247000836975,0.011998154130133826,107945.546875
0.001,0.5,0.4702644678388258,0.44308943089430897,0.006065664997217585,0.011967501097935878,214103.40625
2.0,0.01,0.4953573438379291,0.0,0.0,0.0,34350.671875
2.0,0.05,0.4981803395692933,0.04878048780487805,0.0064,0.011315417256011316,34069.203125
0.5,0.3,0.4982614344995448,0.2967479674796748,0.006795122405287164,0.013286013286013285,103930.90625
0.03,0.7,0.5584381047805975,0.8170731707317073,0.008012437215977039,0.015869256276646142,125034.078125
2.0,0.02,0.49226887372981776,0.0040650406504065045,0.0014388489208633094,0.0021253985122210413,38364.875
0.001,0.7,0.457655407167465,0.6219512195121951,0.006055329085368267,0.01199388547015247,224133.984375
1.0,0.3,0.4837102131572807,0.2682926829268293,0.006134399107723766,0.011994547932757837,60940.109375
2.0,0.1,0.5015512121919193,0.10569105691056911,0.007080610021786492,0.013272077590607452,32226.984375
0.5,0.9,0.34330858165081374,0.5894308943089431,0.004498774471781825,0.00892939618807156,94494.859375
1.0,0.9,0.3396233946863948,0.5813008130081301,0.004440717967828085,0.008814102564102564,62115.515625
2.0,0.3,0.47755637756152464,0.25609756097560976,0.005855018587360595,0.011448300926767218,39129.90625
2.0,0.9,0.34159964039145174,0.5853658536585366,0.004471077716024467,0.008874372168982837,25622.703125
0.5,0.7,0.40986715987024813,0.5203252032520326,0.005114476365525233,0.010129387092945042,105027.0
